,Population
6,Monocytes
7,B-cells
11,Monocytes
16,B-cells
17,Monocytes
19,Other_cells
23,T-cells
32,T-cells
35,T-cells
36,T-cells
51,T-cells
58,T-cells
62,Monocytes
68,T-cells
73,T-cells
79,T-cells
81,T-cells
82,Other_cells
83,Monocytes
87,Monocytes
99,T-cells
101,Monocytes
108,B-cells
110,T-cells
131,T-cells
147,T-cells
151,Other_cells
152,T-cells
155,Other_cells
168,T-cells
173,T-cells
187,T-cells
193,B-cells
206,T-cells
216,T-cells
220,Monocytes
236,T-cells
241,B-cells
248,B-cells
253,T-cells
256,T-cells
260,B-cells
269,B-cells
275,B-cells
286,T-cells
296,B-cells
303,B-cells
308,T-cells
322,B-cells
334,T-cells
336,T-cells
342,T-cells
344,B-cells
353,B-cells
363,T-cells
369,Monocytes
387,B-cells
396,T-cells
403,B-cells
406,Other_cells
413,T-cells
415,Other_cells
418,Other_cells
421,T-cells
437,T-cells
442,T-cells
451,T-cells
465,B-cells
494,B-cells
496,T-cells
498,T-cells
500,T-cells
504,T-cells
509,T-cells
516,Other_cells
517,T-cells
519,T-cells
527,T-cells
544,T-cells
551,Other_cells
569,T-cells
578,T-cells
592,B-cells
598,T-cells
599,T-cells
611,Monocytes
613,T-cells
615,B-cells
619,B-cells
622,B-cells
633,T-cells
642,T-cells
647,T-cells
648,Monocytes
649,T-cells
664,T-cells
665,T-cells
672,T-cells
684,B-cells
685,T-cells
689,T-cells
692,T-cells
697,T-cells
700,T-cells
703,T-cells
709,T-cells
713,T-cells
714,Monocytes
720,T-cells
722,B-cells
731,T-cells
732,T-cells
742,Other_cells
748,T-cells
752,T-cells
756,T-cells
762,T-cells
766,B-cells
775,B-cells
778,Monocytes
789,Monocytes
790,T-cells
802,T-cells
812,Monocytes
813,T-cells
833,T-cells
835,B-cells
839,T-cells
848,B-cells
855,T-cells
857,B-cells
873,T-cells
876,B-cells
877,B-cells
891,B-cells
892,T-cells
898,Other_cells
905,T-cells
910,Other_cells
911,B-cells
913,Other_cells
919,B-cells
920,B-cells
925,T-cells
938,T-cells
944,T-cells
945,T-cells
947,Other_cells
959,Monocytes
960,B-cells
969,T-cells
974,T-cells
987,Monocytes
995,T-cells
1006,Other_cells
1015,T-cells
1023,B-cells
1025,T-cells
1032,T-cells
1034,Monocytes
1035,T-cells
1037,T-cells
1038,T-cells
1049,T-cells
1074,T-cells
1083,T-cells
1095,T-cells
1096,B-cells
1097,Monocytes
1117,Monocytes
1124,T-cells
1126,T-cells
1150,T-cells
1152,B-cells
1155,B-cells
1157,Other_cells
1160,T-cells
1171,T-cells
1192,B-cells
1195,T-cells
1222,B-cells
1224,Other_cells
1232,B-cells
1233,T-cells
1249,T-cells
1270,Other_cells
1278,T-cells
1289,B-cells
1295,T-cells
1297,B-cells
1318,T-cells
1328,B-cells
1336,T-cells
1338,Other_cells
1340,T-cells
1346,Other_cells
1351,T-cells
1353,T-cells
1359,T-cells
1367,T-cells
1370,B-cells
1393,Monocytes
1404,B-cells
1411,T-cells
1414,Monocytes
1420,T-cells
1436,Other_cells
1440,T-cells
1445,T-cells
1446,T-cells
1453,T-cells
1463,Other_cells
1466,B-cells
1512,T-cells
1542,T-cells
1549,T-cells
1563,T-cells
1569,T-cells
1575,T-cells
1579,B-cells
1606,Other_cells
1612,B-cells
1630,B-cells
1632,T-cells
1634,T-cells
1641,T-cells
1643,T-cells
1649,B-cells
1652,Other_cells
1660,Monocytes
1666,T-cells
1674,Other_cells
1677,T-cells
1686,T-cells
1688,T-cells
1693,T-cells
1694,B-cells
1705,B-cells
1707,T-cells
1715,Monocytes
1717,T-cells
1724,T-cells
1739,T-cells
1746,T-cells
1748,T-cells
1756,B-cells
1766,T-cells
1784,B-cells
1791,T-cells
1793,T-cells
1803,T-cells
1815,T-cells
1820,T-cells
1821,T-cells
1824,T-cells
1833,T-cells
1834,T-cells
1838,T-cells
1840,T-cells
1842,T-cells
1850,T-cells
1868,T-cells
1877,T-cells
1879,T-cells
1881,T-cells
1883,Other_cells
1912,T-cells
1913,T-cells
1915,T-cells
1923,T-cells
1924,Monocytes
1936,Monocytes
1940,T-cells
1953,T-cells
1967,T-cells
1977,T-cells
1998,T-cells
2007,T-cells
2011,Monocytes
2018,B-cells
2029,T-cells
2040,B-cells
2043,T-cells
2049,B-cells
2056,T-cells
2059,T-cells
2060,B-cells
2063,T-cells
2069,T-cells
2080,T-cells
2082,B-cells
2098,T-cells
2104,T-cells
2106,T-cells
2107,Monocytes
2116,B-cells
2132,T-cells
2148,B-cells
2170,T-cells
2177,T-cells
2182,B-cells
2198,T-cells
2200,T-cells
2205,T-cells
2216,T-cells
2221,T-cells
2223,T-cells
2228,B-cells
2235,T-cells
2241,Monocytes
2251,T-cells
2252,T-cells
2262,T-cells
2263,Monocytes
2265,B-cells
2272,T-cells
2276,T-cells
2279,T-cells
2280,B-cells
2286,T-cells
2293,T-cells
2297,T-cells
2300,B-cells
2308,T-cells
2311,T-cells
2312,T-cells
2324,B-cells
2328,T-cells
2329,T-cells
2339,T-cells
2353,T-cells
2361,T-cells
2381,Other_cells
2383,T-cells
2388,T-cells
2396,B-cells
2399,T-cells
2404,T-cells
2406,Other_cells
2407,T-cells
2410,B-cells
2413,B-cells
2418,T-cells
2419,T-cells
2424,Other_cells
2429,T-cells
2433,T-cells
2436,B-cells
2440,T-cells
2449,T-cells
2454,B-cells
2455,T-cells
2459,T-cells
2466,Monocytes
2473,T-cells
2489,T-cells
2491,T-cells
2507,Monocytes
2510,T-cells
2519,T-cells
2524,Monocytes
2527,B-cells
2528,B-cells
2556,Monocytes
2557,T-cells
2559,Other_cells
2560,T-cells
2562,Monocytes
2566,Monocytes
2572,B-cells
2576,T-cells
2581,T-cells
2582,T-cells
2600,B-cells
2607,B-cells
2613,B-cells
2624,B-cells
2627,T-cells
2633,T-cells
2634,Other_cells
2635,T-cells
2644,T-cells
2650,T-cells
2660,Monocytes
2663,T-cells
2690,T-cells
2691,B-cells
2700,T-cells
2706,T-cells
2710,B-cells
2714,T-cells
2718,Monocytes
2724,T-cells
2737,B-cells
2744,T-cells
2757,B-cells
2763,T-cells
2771,T-cells
2776,Monocytes
2778,T-cells
2785,Monocytes
2788,T-cells
2794,B-cells
2802,T-cells
2804,T-cells
2808,T-cells
2811,B-cells
2817,B-cells
2826,T-cells
2827,T-cells
2838,T-cells
2841,Monocytes
2849,T-cells
2854,T-cells
2856,T-cells
2859,B-cells
2872,T-cells
2876,B-cells
2877,T-cells
2886,T-cells
2891,T-cells
2897,Other_cells
2913,Monocytes
2915,Monocytes
2916,B-cells
2923,B-cells
2931,T-cells
2936,T-cells
2938,T-cells
2945,T-cells
2959,T-cells
2964,Other_cells
2973,T-cells
2977,T-cells
2991,B-cells
3001,T-cells
3008,T-cells
3012,T-cells
